epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1783.4,1.05483,0.97857,1.14063,0.94285,0.94132,0.9768,0.72031,0.89414,1.13755,1.16063,0.00040505,0.00040505,0.00040505
58,1813.8,1.10083,1.03907,1.18464,0.93366,0.95238,0.97954,0.72276,0.87714,1.11544,1.15388,0.000396051,0.000396051,0.000396051
59,1844.14,1.09699,1.08057,1.19823,0.92722,0.94505,0.97478,0.72559,0.87901,1.12087,1.15281,0.000387052,0.000387052,0.000387052
60,1874.59,1.05227,0.99964,1.14674,0.95067,0.92497,0.9757,0.71866,0.93794,1.12389,1.17348,0.000378053,0.000378053,0.000378053
61,1905.19,1.07987,1.05672,1.15128,0.95819,0.92299,0.97813,0.73152,0.9103,1.11532,1.14779,0.000369054,0.000369054,0.000369054
62,1935.52,1.06995,1.01982,1.20443,0.96526,0.93203,0.97994,0.73641,0.89078,1.09702,1.13253,0.000360055,0.000360055,0.000360055
63,1966.87,1.04374,1.00828,1.1694,0.96026,0.94863,0.98129,0.75064,0.87696,1.0904,1.11915,0.000351056,0.000351056,0.000351056
64,1998.12,1.02876,0.9858,1.14736,0.97603,0.93555,0.98215,0.75442,0.84246,1.05569,1.11036,0.000342057,0.000342057,0.000342057
65,2030.87,1.07277,0.95779,1.1345,0.98545,0.92253,0.98265,0.75025,0.84273,1.05573,1.11433,0.000333058,0.000333058,0.000333058
66,2064.54,1.01518,0.96748,1.13683,0.97688,0.9349,0.98383,0.75093,0.83498,1.07596,1.11892,0.000324058,0.000324058,0.000324058
67,2095.51,1.00924,0.97158,1.16693,0.96965,0.93694,0.98449,0.74624,0.82657,1.06978,1.12289,0.000315059,0.000315059,0.000315059
68,2126.19,1.02913,0.97352,1.14158,0.95445,0.94552,0.98445,0.75193,0.82282,1.04029,1.12773,0.00030606,0.00030606,0.00030606
69,2156.93,0.99098,0.96157,1.15965,0.94539,0.94669,0.98636,0.75994,0.82303,1.05843,1.12739,0.000297061,0.000297061,0.000297061
70,2188,1.0268,0.94021,1.1138,0.92815,0.95456,0.98649,0.76177,0.81204,1.06824,1.12558,0.000288062,0.000288062,0.000288062
71,2219.21,1.05365,0.9775,1.13209,0.92979,0.97839,0.98665,0.76469,0.79801,1.06355,1.11708,0.000279063,0.000279063,0.000279063
72,2250.09,0.97947,0.904,1.11241,0.94007,0.97983,0.98579,0.76496,0.80154,1.04592,1.11305,0.000270064,0.000270064,0.000270064
73,2281.85,0.99916,0.93085,1.12121,0.94278,0.98667,0.98681,0.76196,0.81215,1.04526,1.11249,0.000261065,0.000261065,0.000261065
74,2313.64,1.00308,0.9047,1.11106,0.94827,0.98487,0.98704,0.76002,0.82004,1.04995,1.11043,0.000252066,0.000252066,0.000252066
75,2345.27,0.95899,0.9281,1.11414,0.95379,0.98403,0.98605,0.761,0.79184,1.03476,1.09392,0.000243067,0.000243067,0.000243067
76,2377.1,0.95427,0.89176,1.06429,0.95032,0.97692,0.98707,0.76431,0.77817,1.02106,1.07377,0.000234068,0.000234068,0.000234068
77,2408.32,1.03779,0.97616,1.16319,0.94989,0.97665,0.98878,0.76546,0.77088,1.00876,1.06628,0.000225068,0.000225068,0.000225068
